Year,Country,ISO,Disaster Group,Disaster Subroup,Disaster Type,Disaster Subtype,Total Events,Total Affected,Total Deaths,"Total Damage (USD, original)","Total Damage (USD, adjusted)",CPI,CO2 Emissions,Temperature,Humidity,Precipitation,Sea Level Rise,Wind Speed
2000,afghanistan,AFG,Natural,Climatological,Drought,Drought,1,2580000.0,37.0,50000.0,84975.0,588406484917497.0,0.7206864183870504,0.48611645366861717,0.5694242928157404,0.46529614083741005,0.8755276243788678,0.3608981562806888
2000,argentina,ARG,Natural,Meteorological,Extreme temperature,Cold wave,1,300.0,15.0,120000000.0,160906059.0,588406484917497.0,0.3813283073302519,0.5036955119161182,0.4983726002504268,0.7814688568975479,-1.3698082372230391,0.7004171168922327
2000,argentina,ARG,Natural,Hydrological,Flood,Unknown,3,31840.0,6.0,300000000.0,509851621.0,588406484917497.0,0.3813283073302519,0.5036955119161182,0.4983726002504268,0.7814688568975479,-1.3698082372230391,0.7004171168922327
2000,argentina,ARG,Natural,Hydrological,Flood,Riverine flood,1,6000.0,7.0,120000000.0,160906059.0,588406484917497.0,0.3813283073302519,0.5036955119161182,0.4983726002504268,0.7814688568975479,-1.3698082372230391,0.7004171168922327
2000,argentina,ARG,Natural,Meteorological,Storm,Convective storm,2,430.0,1.0,120000000.0,160906059.0,588406484917497.0,0.3813283073302519,0.5036955119161182,0.4983726002504268,0.7814688568975479,-1.3698082372230391,0.7004171168922327
2000,argentina,ARG,Natural,Climatological,Wildfire,Forest fire,1,0.0,8.0,120000000.0,160906059.0,588406484917497.0,0.3813283073302519,0.5036955119161182,0.4983726002504268,0.7814688568975479,-1.3698082372230391,0.7004171168922327
2000,armenia,ARM,Natural,Climatological,Drought,Drought,1,297000.0,0.0,100000000.0,169950540.0,588406484917497.0,0.3985319764353209,0.460467500883144,0.3141642662000843,0.2835065242333552,0.3426533929783008,0.6735425465258398
2000,australia,AUS,Natural,Hydrological,Flood,Riverine flood,1,600.0,0.0,265000000.0,450368932.0,588406484917497.0,0.6049997999899334,0.514917836968563,0.3720077597842613,0.7818146927757719,0.3427521057153076,0.7891515817276588
2000,australia,AUS,Natural,Biological,Insect infestation,Locust,1,0.0,0.0,120000000.0,203940648.0,588406484917497.0,0.6049997999899334,0.514917836968563,0.3720077597842613,0.7818146927757719,0.3427521057153076,0.7891515817276588
2000,australia,AUS,Natural,Meteorological,Storm,Tropical cyclone,3,1350.0,1.0,150000000.0,254925810.0,588406484917497.0,0.6049997999899334,0.514917836968563,0.3720077597842613,0.7818146927757719,0.3427521057153076,0.7891515817276588
2000,australia,AUS,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",1,200.0,0.0,120000000.0,160906059.0,588406484917497.0,0.6049997999899334,0.514917836968563,0.3720077597842613,0.7818146927757719,0.3427521057153076,0.7891515817276588
2000,austria,AUT,Natural,Hydrological,Landslide,Avalanche,1,0.0,13.0,120000000.0,160906059.0,588406484917497.0,0.4078994730379316,0.49048948092251093,0.3792179145945048,0.23737075740293195,0.2512332722949836,0.5497420151943695
2000,austria,AUT,Natural,Meteorological,Storm,Unknown,1,0.0,0.0,20000000.0,33990108.0,588406484917497.0,0.4078994730379316,0.49048948092251093,0.3792179145945048,0.23737075740293195,0.2512332722949836,0.5497420151943695
2000,azerbaijan,AZE,Natural,Climatological,Drought,Drought,1,0.0,0.0,100000000.0,169950540.0,588406484917497.0,0.3730031889283635,0.5048347634387346,0.6434073041664116,0.6068595094454812,0.32814054085919114,0.8625181567905743
2000,azerbaijan,AZE,Natural,Geophysical,Earthquake,Ground movement,1,3294.0,31.0,10000000.0,16995054.0,588406484917497.0,0.3730031889283635,0.5048347634387346,0.6434073041664116,0.6068595094454812,0.32814054085919114,0.8625181567905743
2000,azerbaijan,AZE,Natural,Hydrological,Landslide,Avalanche,1,0.0,11.0,120000000.0,160906059.0,588406484917497.0,0.3730031889283635,0.5048347634387346,0.6434073041664116,0.6068595094454812,0.32814054085919114,0.8625181567905743
2000,bangladesh,BGD,Natural,Geophysical,Earthquake,Ground movement,1,1000.0,0.0,120000000.0,160906059.0,588406484917497.0,0.449175786966553,0.506050464194734,0.3222148307375263,0.6286845671290783,-0.968021087360542,0.32678333019686423
2000,bangladesh,BGD,Natural,Meteorological,Extreme temperature,Cold wave,1,0.0,49.0,120000000.0,160906059.0,588406484917497.0,0.449175786966553,0.506050464194734,0.3222148307375263,0.6286845671290783,-0.968021087360542,0.32678333019686423
2000,bangladesh,BGD,Natural,Hydrological,Flood,Coastal flood,1,12010.0,1.0,120000000.0,160906059.0,588406484917497.0,0.449175786966553,0.506050464194734,0.3222148307375263,0.6286845671290783,-0.968021087360542,0.32678333019686423
2000,bangladesh,BGD,Natural,Hydrological,Flood,Flash flood,2,2667188.0,42.0,500000000.0,849752701.0,588406484917497.0,0.449175786966553,0.506050464194734,0.3222148307375263,0.6286845671290783,-0.968021087360542,0.32678333019686423
2000,bangladesh,BGD,Natural,Meteorological,Storm,Unknown,2,71000.0,64.0,120000000.0,160906059.0,588406484917497.0,0.449175786966553,0.506050464194734,0.3222148307375263,0.6286845671290783,-0.968021087360542,0.32678333019686423
